epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,4331.861328125,,,,,
0,56,,,7461.5693359375,0.952202320098877,10184.47265625,1.8268178701400757,7457.66162109375
0,56,7581.77197265625,,,,,,
1,99,,5653.36376953125,,,,,
1,113,,,7146.53466796875,0.8358778953552246,9945.041015625,1.4922363758087158,7139.6923828125
1,113,7293.8251953125,,,,,,
2,149,,8171.923828125,,,,,
2,170,,,6686.509765625,0.7119762301445007,9585.173828125,1.1631125211715698,6672.9970703125
2,170,6964.416015625,,,,,,
3,199,,2783.030517578125,,,,,
3,227,,,6197.49462890625,0.6680867671966553,9144.6982421875,0.9337014555931091,6140.7119140625
3,227,6414.17724609375,,,,,,
4,249,,8469.099609375,,,,,
4,284,,,5803.15283203125,0.730151355266571,8697.8642578125,0.8076667189598083,5614.7333984375
4,284,5817.71142578125,,,,,,
5,299,,4161.5634765625,,,,,
5,341,,,5554.32275390625,0.8631583452224731,8325.0859375,0.7484110593795776,5129.95458984375
5,341,5390.13525390625,,,,,,
6,349,,6007.21337890625,,,,,
6,398,,,5449.71044921875,1.0283970832824707,8059.59521484375,0.7291006445884705,4706.796875
6,398,4943.0732421875,,,,,,
7,399,,4732.1591796875,,,,,
7,449,,1913.396484375,,,,,
7,455,,,5434.91650390625,1.1495529413223267,7930.7802734375,0.7269769310951233,4360.75390625
7,455,4537.767578125,,,,,,
8,499,,7181.763671875,,,,,
8,512,,,4887.58544921875,0.6675540804862976,7612.43408203125,0.6101509928703308,4089.905029296875
8,512,4142.255859375,,,,,,
9,549,,2307.2216796875,,,,,
9,569,,,4720.10107421875,0.7050156593322754,7397.0947265625,0.5828205943107605,3904.653564453125
9,569,3956.311767578125,,,,,,
10,599,,3468.246826171875,,,,,
10,626,,,4519.7109375,0.6792115569114685,7131.34521484375,0.5523794293403625,3725.46337890625
10,626,3808.174072265625,,,,,,
11,649,,3611.7431640625,,,,,
11,683,,,4263.62109375,0.5700483918190002,6863.88623046875,0.4970747232437134,3510.208984375
11,683,3634.817138671875,,,,,,
12,699,,1391.1710205078125,,,,,
12,740,,,4021.997802734375,0.46592462062835693,6675.90234375,0.4357614815235138,3361.637939453125
12,740,3488.40234375,,,,,,
13,749,,2184.705810546875,,,,,
13,797,,,4050.311279296875,0.5520405173301697,6614.8671875,0.4570360779762268,3309.677490234375
13,797,3327.6806640625,,,,,,
14,799,,3731.075927734375,,,,,
14,849,,2196.3681640625,,,,,
14,854,,,3807.51171875,0.3874320685863495,6435.98828125,0.38989055156707764,3170.814697265625
14,854,3279.162353515625,,,,,,
15,899,,2210.955322265625,,,,,
15,911,,,3820.01318359375,0.458157479763031,6348.36474609375,0.4120163321495056,3133.071533203125
15,911,3205.8505859375,,,,,,
16,949,,2009.5350341796875,,,,,
16,968,,,3655.274658203125,0.328538179397583,6223.5634765625,0.3573746681213379,3026.2001953125
16,968,3125.33349609375,,,,,,
17,999,,1285.904541015625,,,,,
17,1025,,,3548.678955078125,0.3495168387889862,6089.35693359375,0.3481220006942749,2950.620849609375
17,1025,3029.548828125,,,,,,
18,1049,,3431.931884765625,,,,,
18,1082,,,3504.728271484375,0.3336738646030426,6010.482421875,0.3401247560977936,2894.156005859375
18,1082,2996.890625,,,,,,
19,1099,,1928.088623046875,,,,,
19,1139,,,3443.1318359375,0.33448517322540283,5889.61181640625,0.3562459945678711,2838.372314453125
19,1139,2862.53564453125,,,,,,
20,1149,,1570.457763671875,,,,,
20,1196,,,3368.086181640625,0.3283643424510956,5792.80908203125,0.33261343836784363,2771.287109375
20,1196,2866.357421875,,,,,,
21,1199,,2945.15283203125,,,,,
21,1249,,2253.3720703125,,,,,
21,1253,,,3417.083251953125,0.3908446431159973,5764.5166015625,0.35176795721054077,2764.89111328125
21,1253,2818.809814453125,,,,,,
22,1299,,4623.9833984375,,,,,
22,1310,,,3576.69140625,0.6254354119300842,5753.02294921875,0.43223005533218384,2818.267578125
22,1310,2775.167724609375,,,,,,
23,1349,,4828.38525390625,,,,,
23,1367,,,3318.898681640625,0.3290305435657501,5626.82080078125,0.33589741587638855,2664.0947265625
23,1367,2693.889892578125,,,,,,
24,1399,,906.1524047851562,,,,,
24,1424,,,3266.876953125,0.3079109489917755,5558.48046875,0.32550835609436035,2637.115234375
24,1424,2676.755859375,,,,,,
25,1449,,660.0067749023438,,,,,
25,1481,,,3119.654296875,0.2859073877334595,5387.11083984375,0.30461516976356506,2526.517578125
25,1481,2614.104736328125,,,,,,
26,1499,,4836.20068359375,,,,,
26,1538,,,3196.53173828125,0.32427382469177246,5397.3515625,0.3499516248703003,2546.1806640625
26,1538,2537.71240234375,,,,,,
27,1549,,4333.96240234375,,,,,
27,1595,,,3069.411376953125,0.2847158908843994,5276.17333984375,0.30247771739959717,2462.453125
27,1595,2502.383544921875,,,,,,
28,1599,,2228.84033203125,,,,,
28,1649,,1559.1751708984375,,,,,
28,1652,,,3073.55419921875,0.3819122612476349,5175.3720703125,0.3290252089500427,2423.554931640625
28,1652,2496.381103515625,,,,,,
29,1699,,2608.364990234375,,,,,
29,1709,,,2996.077880859375,0.3087747395038605,5115.5849609375,0.2968204915523529,2379.818115234375
29,1709,2396.06103515625,,,,,,
